,kaisai_nen,kaisai_tsukihi,keibajo_code,kaisai_kai,kaisai_nichime,race_bango,wakuban,umaban,ketto_toroku_bango,bamei,umakigo_code,seibetsu_code,hinshu_code,moshoku_code,barei,tozai_shozoku_code,chokyoshi_code,banushi_code,banushimei,futan_juryo,blinker_shiyo_kubun,kishu_code,kishumei_ryakusho,kishu_minarai_code,bataiju,zogen_fugo,zogen_sa,ijo_kubun_code,nyusen_juni,kakutei_chakujun,dochaku_kubun,dochaku_tosu,soha_time,chakusa_code_1,chakusa_code_2,chakusa_code_3,corner_1,corner_2,corner_3,corner_4,tansho_odds,tansho_ninkijun,kakutoku_honshokin,kakutoku_fukashokin,kohan_4f,kohan_3f,aiteuma_joho_1,aiteuma_joho_2,aiteuma_joho_3,time_sa,record_koshin_kubun,kyakushitsu_hantei
0,2023,920,42,7,2,1,1,1,2021102476,シェナテイオー　　　　　　　　　　　,0,1,1,1,2,3,20593,897033,冨田　藤男　　　　　　　　　　　　　　　　　　　　　　　　　　　,530,0,5611,七夕裕次,1,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
1,2023,920,42,7,2,1,2,2,2021109063,ストロングブラック　　　　　　　　　,0,1,1,5,2,3,20727,862030,定蛇　邦宏　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,5399,和田譲治,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
2,2023,920,42,7,2,1,3,3,2021101334,アフィナージュ　　　　　　　　　　　,0,2,1,3,2,3,5766,289030,伊達　泰明　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,21232,西啓太　,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
3,2023,920,42,7,2,1,4,4,2021101836,スマートバローズ　　　　　　　　　　,0,1,1,3,2,3,20727,859007,猪熊　広次　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,5524,笹川翼　,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
4,2023,920,42,7,2,1,5,5,2021103803,ギガフォルス　　　　　　　　　　　　,0,1,1,1,2,3,20469,99803,太盛　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,5348,岡田大　,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
5,2023,920,42,7,2,1,6,6,2021102886,ビナミトー　　　　　　　　　　　　　,0,2,1,3,2,3,20444,721800,栗東総合産業　　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,5595,福原杏　,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
6,2023,920,42,7,2,1,7,7,2021107231,ブレイブハート　　　　　　　　　　　,0,1,1,3,2,3,5436,835800,内田ステーブル　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,20445,山口達弥,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
7,2023,920,42,7,2,1,8,8,2021109023,チイサナイヤリング　　　　　　　　　,0,2,1,4,2,3,5462,0,内田　律子　　　　　　　　　　　　　　　　　　　　　　　　　　　,520,0,21332,室陽一朗,2,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
8,2023,920,42,7,2,2,1,1,2019104220,レーダーベクター　　　　　　　　　　,0,1,1,5,4,3,5651,0,北原　大史　　　　　　　　　　　　　　　　　　　　　　　　　　　,540,0,5629,及川烈　,2,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
9,2023,920,42,7,2,2,2,2,2016102871,ラウズアップ　　　　　　　　　　　　,0,1,1,4,7,3,5015,0,花房　崇明　　　　　　　　　　　　　　　　　　　　　　　　　　　,560,0,5488,本橋孝太,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0000000000　　　　　　　　　　　　　　　　　　,0,0,0
